
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:25:22.554Z] GET /images/favicon-32x32.png
[2026-03-29T18:25:22.564Z] GET /js/cart.js
[2026-03-29T18:25:22.570Z] GET /js/main.js
[2026-03-29T18:25:22.572Z] GET /js/app.js
[2026-03-29T18:25:22.578Z] GET /images/hills_bg.jpg
[2026-03-29T18:25:22.579Z] GET /images/popular_banner_v2.png
[2026-03-29T18:25:22.597Z] GET /images/products/mangoes.png
[2026-03-29T18:25:22.597Z] GET /images/products/wheat-flour.png
[2026-03-29T18:25:22.599Z] GET /images/products/milk.png
[2026-03-29T18:25:22.599Z] GET /images/products/ginger.png
[2026-03-29T18:25:22.600Z] GET /images/products/turmeric.png
[2026-03-29T18:25:22.603Z] GET /images/products/chickpeas.png
[2026-03-29T18:25:22.604Z] GET /images/products/tomatoes.png
[2026-03-29T18:25:22.604Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:25:22.604Z] GET /images/products/carrot.png
[2026-03-29T18:25:22.604Z] GET /images/products/broccoli.png
[2026-03-29T18:25:35.824Z] GET /index.html
[2026-03-29T18:25:35.840Z] GET /css/style.css
[2026-03-29T18:25:35.843Z] GET /images/produce_basket.png
[2026-03-29T18:25:35.843Z] GET /images/favicon-32x32.png
[2026-03-29T18:25:35.849Z] GET /js/cart.js
[2026-03-29T18:25:35.849Z] GET /js/main.js
[2026-03-29T18:25:35.849Z] GET /js/app.js
[2026-03-29T18:25:35.850Z] GET /images/hills_bg.jpg
[2026-03-29T18:25:35.850Z] GET /images/popular_banner_v2.png
[2026-03-29T18:25:35.858Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:25:35.858Z] GET /images/products/mangoes.png
[2026-03-29T18:25:35.859Z] GET /images/products/wheat-flour.png
[2026-03-29T18:25:35.859Z] GET /images/products/milk.png
[2026-03-29T18:25:35.860Z] GET /images/products/ginger.png
[2026-03-29T18:25:35.860Z] GET /images/products/turmeric.png
[2026-03-29T18:25:35.865Z] GET /images/products/chickpeas.png
[2026-03-29T18:25:35.865Z] GET /images/products/tomatoes.png
